UTC,ISO8601,Hour,Open,Highest,Lowest,Closing,Volume
1583967600000,2020-03-11T19:00:00,19,7948.61,7974.84,7909.01,7934.52,2359.550411
1583971200000,2020-03-11T20:00:00,20,7934.58,7966.17,7897.63,7913.42,1772.473459
1583974800000,2020-03-11T21:00:00,21,7913.83,7938.28,7685.0,7713.27,4711.918662
1583978400000,2020-03-11T22:00:00,22,7712.13,7768.75,7558.0,7644.97,7681.265361
1583982000000,2020-03-11T23:00:00,23,7645.36,7700.1,7600.0,7662.73,3873.696996
1583985600000,2020-03-12T00:00:00,0,7662.11,7662.8,7567.0,7624.3,5435.935233
1583989200000,2020-03-12T01:00:00,1,7622.27,7657.32,7596.61,7646.95,2351.4574780000003
1583992800000,2020-03-12T02:00:00,2,7647.37,7649.94,7443.58,7494.17,7706.3426469999995
1583996400000,2020-03-12T03:00:00,3,7494.17,7500.0,7342.43,7392.13,8059.574417
1584000000000,2020-03-12T04:00:00,4,7392.12,7466.0,7310.0,7377.64,6583.236277
1584003600000,2020-03-12T05:00:00,5,7378.84,7391.51,7340.0,7354.21,3622.784029
1584007200000,2020-03-12T06:00:00,6,7354.99,7367.03,5550.0,6014.9,28792.65613
1584010800000,2020-03-12T07:00:00,7,6014.9,6466.0,5750.0,6067.01,26427.576403
1584014400000,2020-03-12T08:00:00,8,6064.27,6307.59,5900.0,6028.1,18013.689130000002
1584018000000,2020-03-12T09:00:00,9,6028.22,6105.0,5734.69,5994.03,14893.077088999999
1584021600000,2020-03-12T10:00:00,10,5995.93,6201.0,5900.0,6094.19,13801.78566
1584025200000,2020-03-12T11:00:00,11,6090.48,6150.0,6018.02,6132.13,7856.651086
1584028800000,2020-03-12T12:00:00,12,6132.13,6187.41,5947.72,6088.59,9297.49684
1584032400000,2020-03-12T13:00:00,13,6088.59,6229.97,6063.99,6114.61,8343.860533
1584036000000,2020-03-12T14:00:00,14,6113.2,6150.0,5965.84,5985.61,5389.560168
1584039600000,2020-03-12T15:00:00,15,5985.62,6095.08,5974.92,6037.45,4024.703003
1584043200000,2020-03-12T16:00:00,16,6036.28,6059.99,5617.85,5743.43,13593.384537
1584046800000,2020-03-12T17:00:00,17,5743.7,5890.34,5565.0,5819.97,10708.062403
1584050400000,2020-03-12T18:00:00,18,5819.12,5965.71,5720.0,5802.7,8612.070356999999
1584054000000,2020-03-12T19:00:00,19,5800.27,5802.3,4410.0,4800.0,39952.350755
1584057600000,2020-03-12T20:00:00,20,4800.01,5049.0,4521.0,4654.72,28100.097942
1584061200000,2020-03-12T21:00:00,21,4656.71,4769.57,4082.0,4130.64,23916.856575
1584064800000,2020-03-12T22:00:00,22,4131.23,5276.97,3782.13,4848.71,41434.059072000004
1584068400000,2020-03-12T23:00:00,23,4848.7,5523.23,4808.42,5167.26,24680.067350999998
1584072000000,2020-03-13T00:00:00,0,5159.09,5181.0,4674.0,4774.48,13631.519755000001
1584075600000,2020-03-13T01:00:00,1,4771.5,5200.0,4759.45,4956.52,14370.861433000002
1584079200000,2020-03-13T02:00:00,2,4959.16,5245.0,4858.0,5199.98,12093.431843
1584082800000,2020-03-13T03:00:00,3,5199.83,5444.0,5025.0,5385.87,11890.038859
1584086400000,2020-03-13T04:00:00,4,5386.11,5600.0,5126.0,5276.38,16157.921186000001
1584090000000,2020-03-13T05:00:00,5,5279.21,5700.0,5268.56,5584.33,14483.531900999998
1584093600000,2020-03-13T06:00:00,6,5589.52,5657.62,5420.0,5595.31,12182.240051
1584097200000,2020-03-13T07:00:00,7,5595.59,5599.0,5266.0,5403.56,12832.6967
1584100800000,2020-03-13T08:00:00,8,5403.56,5678.44,5355.47,5525.06,12106.804240000001
1584104400000,2020-03-13T09:00:00,9,5529.32,5955.0,5462.0,5608.0,21139.34349
1584108000000,2020-03-13T10:00:00,10,5608.65,5847.64,5300.0,5394.36,16497.11918
1584111600000,2020-03-13T11:00:00,11,5395.87,5469.0,4920.0,5212.37,26614.425787
1584115200000,2020-03-13T12:00:00,12,5207.63,5400.0,5035.0,5196.73,15843.864384
1584118800000,2020-03-13T13:00:00,13,5196.77,5340.0,5101.2,5183.87,9597.736361
1584122400000,2020-03-13T14:00:00,14,5184.81,5199.0,4807.0,4985.34,17472.587988
1584126000000,2020-03-13T15:00:00,15,4981.96,5525.0,4863.23,5391.08,20750.447708
1584129600000,2020-03-13T16:00:00,16,5397.16,5516.54,5187.39,5356.47,12423.320181000001
1584133200000,2020-03-13T17:00:00,17,5356.86,5600.0,5356.47,5499.89,8516.573268
1584136800000,2020-03-13T18:00:00,18,5499.89,5620.0,5444.96,5601.24,6643.845633
1584140400000,2020-03-13T19:00:00,19,5603.36,5699.0,5437.93,5578.6,8822.282876000001
1584144000000,2020-03-13T20:00:00,20,5576.05,5580.0,5394.86,5451.3,6714.860465000001
1584147600000,2020-03-13T21:00:00,21,5452.1,5518.0,5322.02,5482.84,6242.947429999999
1584151200000,2020-03-13T22:00:00,22,5482.84,5570.0,5394.01,5548.5,6079.578493
1584154800000,2020-03-13T23:00:00,23,5547.39,5640.52,5515.67,5573.97,7336.2146299999995
1584158400000,2020-03-14T00:00:00,0,5573.67,5573.71,5400.0,5506.94,6556.159484000001
1584162000000,2020-03-14T01:00:00,1,5506.53,5543.99,5417.0,5431.06,5518.881285
1584165600000,2020-03-14T02:00:00,2,5431.02,5495.0,5371.76,5426.0,4968.628064
1584169200000,2020-03-14T03:00:00,3,5426.94,5510.0,5400.0,5500.4,4067.4891439999997
1584172800000,2020-03-14T04:00:00,4,5500.61,5530.0,5266.66,5351.61,9464.654381
1584176400000,2020-03-14T05:00:00,5,5351.61,5373.0,5192.0,5233.7,5419.035802
1584180000000,2020-03-14T06:00:00,6,5232.68,5409.0,5173.0,5385.03,7834.355573000001
1584183600000,2020-03-14T07:00:00,7,5385.03,5490.0,5350.0,5448.38,6066.382447
1584187200000,2020-03-14T08:00:00,8,5448.23,5450.0,5286.79,5425.53,5528.296249
1584190800000,2020-03-14T09:00:00,9,5423.24,5448.97,5268.82,5300.0,5545.238521
1584194400000,2020-03-14T10:00:00,10,5300.84,5399.0,5279.73,5369.57,3693.027122
1584198000000,2020-03-14T11:00:00,11,5369.56,5416.98,5301.0,5311.38,4634.882294
1584201600000,2020-03-14T12:00:00,12,5310.96,5470.0,5256.0,5387.61,7913.086381
1584205200000,2020-03-14T13:00:00,13,5388.2,5408.33,5345.27,5396.66,2619.6298829999996
1584208800000,2020-03-14T14:00:00,14,5397.5,5498.0,5382.49,5443.8,4779.156615
1584212400000,2020-03-14T15:00:00,15,5443.63,5484.21,5375.73,5386.85,2654.885829
1584216000000,2020-03-14T16:00:00,16,5386.84,5423.5,5292.24,5334.31,4533.743272
1584219600000,2020-03-14T17:00:00,17,5336.83,5352.79,5280.0,5300.76,2699.326289
1584223200000,2020-03-14T18:00:00,18,5302.58,5336.98,5195.32,5273.08,5390.187138
1584226800000,2020-03-14T19:00:00,19,5273.08,5277.37,5055.13,5172.06,10649.489183
1584230400000,2020-03-14T20:00:00,20,5172.48,5273.37,5093.1,5200.07,6622.555383
1584234000000,2020-03-14T21:00:00,21,5203.07,5228.57,5140.0,5153.42,3801.6339369999996
1584237600000,2020-03-14T22:00:00,22,5152.59,5222.23,5146.58,5197.47,2941.038618
1584241200000,2020-03-14T23:00:00,23,5197.29,5218.98,5165.0,5178.64,2221.677411
1584244800000,2020-03-15T00:00:00,0,5178.64,5284.0,5178.64,5255.8,3369.2988170000003
1584248400000,2020-03-15T01:00:00,1,5256.45,5284.72,5217.74,5252.24,1792.826473
1584252000000,2020-03-15T02:00:00,2,5251.95,5310.0,5250.0,5293.5,2255.98081
1584255600000,2020-03-15T03:00:00,3,5293.41,5332.04,5240.95,5272.23,2737.6653109999997
1584259200000,2020-03-15T04:00:00,4,5272.35,5273.28,5216.02,5230.24,3140.4699570000002
1584262800000,2020-03-15T05:00:00,5,5233.05,5267.7,5213.16,5244.91,2594.974424
1584266400000,2020-03-15T06:00:00,6,5244.91,5487.0,5235.51,5430.88,9637.892785
