UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1562889600000,2019-07-11T20:00:00,Thursday,11342.88,11885.0,11073.0,11757.22,56321.85828099999
1562976000000,2019-07-12T20:00:00,Friday,11757.22,11799.98,10830.0,11355.76,54245.594548
1563062400000,2019-07-13T20:00:00,Saturday,11355.78,11452.0,10103.0,10174.18,72517.579236
1563148800000,2019-07-14T20:00:00,Sunday,10174.18,11100.0,9860.0,10838.72,81922.426332
1563235200000,2019-07-15T20:00:00,Monday,10833.78,11028.0,9350.01,9439.59,97219.443413
1563321600000,2019-07-16T20:00:00,Tuesday,9430.17,9957.0,9060.0,9667.92,84942.672717
1563408000000,2019-07-17T20:00:00,Wednesday,9668.86,10788.0,9252.0,10627.16,80283.310252
1563494400000,2019-07-18T20:00:00,Thursday,10628.64,10769.71,10121.84,10504.29,56546.932133
1563580800000,2019-07-19T20:00:00,Friday,10505.78,11068.99,10350.0,10740.23,47331.899848
1563667200000,2019-07-20T20:00:00,Saturday,10740.27,10817.9,10288.0,10589.45,38834.287935
1563753600000,2019-07-21T20:00:00,Sunday,10590.15,10683.16,10100.0,10340.31,40467.954839
1563840000000,2019-07-22T20:00:00,Monday,10343.08,10343.97,9822.0,9864.91,47624.37071
1563926400000,2019-07-23T20:00:00,Tuesday,9864.78,9937.0,9525.0,9763.28,43475.380377
1564012800000,2019-07-24T20:00:00,Wednesday,9763.4,10175.0,9720.03,9879.87,37873.354728
1564099200000,2019-07-25T20:00:00,Thursday,9882.15,9889.98,9637.0,9824.0,27167.463217
1564185600000,2019-07-26T20:00:00,Friday,9824.0,10188.66,9333.0,9476.52,43809.778301
1564272000000,2019-07-27T20:00:00,Saturday,9478.92,9594.99,9165.0,9541.54,29401.022937
1564358400000,2019-07-28T20:00:00,Sunday,9541.54,9729.0,9395.0,9507.64,29021.937411000003
1564444800000,2019-07-29T20:00:00,Monday,9509.07,9714.28,9402.0,9574.21,32536.368833999997
1564531200000,2019-07-30T20:00:00,Tuesday,9575.0,10109.8,9555.0,10080.53,39515.35456
1564617600000,2019-07-31T20:00:00,Wednesday,10080.53,10467.86,9863.46,10374.99,41727.637028
1564704000000,2019-08-01T20:00:00,Thursday,10375.0,10670.0,10281.35,10523.75,42990.444221
1564790400000,2019-08-02T20:00:00,Friday,10523.75,10904.77,10497.93,10816.86,33802.318824
1564876800000,2019-08-03T20:00:00,Saturday,10816.86,11040.0,10552.0,10929.23,39924.745141
1564963200000,2019-08-04T20:00:00,Sunday,10929.99,11937.52,10927.8,11828.8,65153.673713
1565049600000,2019-08-05T20:00:00,Monday,11830.0,12330.7,11226.7,11481.69,76705.389875
1565136000000,2019-08-06T20:00:00,Tuesday,11481.69,12141.17,11382.84,11975.03,69173.390353
1565222400000,2019-08-07T20:00:00,Wednesday,11975.04,12060.0,11521.0,11999.77,51207.257174
1565308800000,2019-08-08T20:00:00,Thursday,11994.17,12045.68,11700.0,11879.99,39427.152588
1565395200000,2019-08-09T20:00:00,Friday,11879.98,11985.0,11270.0,11309.31,42633.087048
1565481600000,2019-08-10T20:00:00,Saturday,11309.24,11600.0,11112.11,11549.97,26772.906909999998
1565568000000,2019-08-11T20:00:00,Sunday,11539.08,11577.89,11235.32,11396.08,17568.227075
1565654400000,2019-08-12T20:00:00,Monday,11398.35,11456.16,10788.45,10892.71,33234.729680000004
1565740800000,2019-08-13T20:00:00,Tuesday,10893.36,10897.48,9928.1,10050.37,54451.847499
1565827200000,2019-08-14T20:00:00,Wednesday,10055.16,10460.0,9911.0,10293.93,38174.45112
1565913600000,2019-08-15T20:00:00,Thursday,10296.77,10536.03,9750.0,10331.54,51758.142918
1566000000000,2019-08-16T20:00:00,Friday,10331.15,10465.14,10000.0,10216.02,29000.581200999997
1566086400000,2019-08-17T20:00:00,Saturday,10216.05,10500.0,10080.0,10306.78,24085.395172
1566172800000,2019-08-18T20:00:00,Sunday,10306.17,10930.0,10258.6,10915.54,37243.319217000004
1566259200000,2019-08-19T20:00:00,Monday,10914.73,10949.96,10560.0,10760.51,32298.921679000003
1566345600000,2019-08-20T20:00:00,Tuesday,10760.51,10804.13,9858.0,10142.57,47355.719282
1566432000000,2019-08-21T20:00:00,Wednesday,10140.82,10242.0,9762.0,10099.88,34059.642738
1566518400000,2019-08-22T20:00:00,Thursday,10099.9,10445.0,10019.79,10389.55,27550.336173000003
1566604800000,2019-08-23T20:00:00,Friday,10388.16,10419.42,9890.0,10134.35,27692.456844
1566691200000,2019-08-24T20:00:00,Saturday,10134.61,10333.0,9906.97,10142.69,26271.657398
1566777600000,2019-08-25T20:00:00,Sunday,10142.69,10604.0,10137.93,10372.25,41687.511599
1566864000000,2019-08-26T20:00:00,Monday,10373.6,10391.08,10051.08,10185.05,28402.775383
1566950400000,2019-08-27T20:00:00,Tuesday,10185.69,10299.0,9601.01,9721.0,42110.555375
1567036800000,2019-08-28T20:00:00,Wednesday,9721.0,9724.0,9320.0,9498.44,35532.694910000006
1567123200000,2019-08-29T20:00:00,Thursday,9499.01,9696.0,9350.41,9584.54,26834.318103999998
1567209600000,2019-08-30T20:00:00,Friday,9582.76,9684.51,9420.75,9587.47,17130.290074
1567296000000,2019-08-31T20:00:00,Saturday,9588.74,9830.0,9520.0,9724.98,19545.404843
1567382400000,2019-09-01T20:00:00,Sunday,9723.59,10450.0,9712.5,10340.0,44740.248093
1567468800000,2019-09-02T20:00:00,Monday,10340.0,10773.0,10272.0,10615.28,47998.376781
1567555200000,2019-09-03T20:00:00,Tuesday,10611.85,10799.0,10369.89,10567.02,43943.889026
1567641600000,2019-09-04T20:00:00,Wednesday,10565.92,10900.0,10450.0,10564.49,33970.960639
1567728000000,2019-09-05T20:00:00,Thursday,10563.13,10905.87,10150.0,10298.73,58799.640959000004
1567814400000,2019-09-06T20:00:00,Friday,10298.71,10558.0,10288.57,10455.88,27637.877392000002
1567900800000,2019-09-07T20:00:00,Saturday,10455.9,10592.5,10208.0,10381.18,23984.672018
